pitch,roll,y,z,spot
1.406250,-0.137620,1.674846,0.053235,3
1.405990,-0.136860,1.674846,0.053235,3
1.405870,-0.136170,1.674846,0.053235,3
1.405810,-0.135690,1.674846,0.053235,3
1.405720,-0.136120,1.674846,0.053235,3
1.405600,-0.137360,1.674846,0.053235,3
1.405460,-0.136300,1.674846,0.053235,3
1.258060,-0.396730,1.674846,0.053235,3
1.255850,-0.393070,1.674846,0.053235,3
1.254870,-0.391490,1.674846,0.053235,3
1.254460,-0.391090,1.674846,0.053235,3
1.254450,-0.391640,0.055253,0.613140,3
1.254800,-0.392700,0.055253,0.613140,3
1.255470,-0.393900,0.055253,0.613140,3
1.256270,-0.395280,0.055253,0.613140,3
1.257180,-0.396700,0.055253,0.613140,3
1.258150,-0.397980,0.055253,0.613140,3
1.259130,-0.399380,0.055253,0.613140,3
1.259860,-0.400500,0.055253,0.613140,3
1.260420,-0.401570,0.055253,0.613140,3
1.260770,-0.402480,0.055253,0.613140,3
1.260620,-0.402780,0.055253,0.613140,3
1.260140,-0.402520,0.055253,0.613140,3
1.258960,-0.401170,1.604189,0.403975,3
1.257650,-0.399890,1.604189,0.403975,3
1.256180,-0.398500,1.604189,0.403975,3
1.255110,-0.397720,1.604189,0.403975,3
1.254440,-0.397560,1.604189,0.403975,3
1.253950,-0.397510,1.604189,0.403975,3
1.253390,-0.397510,1.604189,0.403975,3
1.252580,-0.243660,1.604189,0.403975,3
1.251810,-0.241240,1.604189,0.403975,3
1.251200,-0.238720,1.604189,0.403975,3
1.250500,-0.236370,1.604189,0.403975,3
1.250550,-0.234990,3.599737,0.674487,1
1.251000,-0.235250,3.599737,0.674487,1
1.247120,-0.262600,3.599737,0.674487,0
1.245830,-0.262520,3.599737,0.674487,0
1.244580,-0.261940,2.483409,1.533809,3
1.243430,-0.261050,2.483409,1.533809,3
1.242410,-0.259210,2.483409,1.533809,3
1.241110,-0.257000,2.483409,1.533809,3
1.239760,-0.254900,2.483409,1.533809,3
1.239000,-0.253160,2.483409,1.533809,3
1.238570,-0.251760,2.483409,1.533809,3
1.238280,-0.252130,2.483409,1.533809,3
1.238200,-0.253290,2.483409,1.533809,3
1.238250,-0.253910,2.483409,1.533809,3
1.238140,-0.254130,3.521939,1.883008,0
1.237880,-0.255370,3.521939,1.883008,0
1.237280,-0.255740,3.521939,1.883008,0
1.235890,-0.255900,3.521939,1.883008,0
1.233790,-0.254700,3.521939,1.883008,0
1.231630,-0.253250,3.521939,1.883008,0
1.229490,-0.251640,3.521939,1.883008,0
1.227890,-0.250140,3.521939,1.883008,0
1.226740,-0.249320,3.521939,1.883008,0
1.226400,-0.248640,3.521939,1.883008,0
1.226760,-0.248440,0.060087,0.513135,3
1.227890,-0.250290,0.060087,0.513135,3
1.229360,-0.254470,0.060087,0.513135,3
1.230540,-0.259080,0.060087,0.513135,3
1.231390,-0.264750,0.060087,0.513135,3
1.231880,-0.270820,0.060087,0.513135,3
1.232030,-0.277470,0.060087,0.513135,3
1.231900,-0.282880,0.060087,0.513135,3
1.231660,-0.288560,0.060087,0.513135,3
1.231410,-0.298120,0.060087,0.513135,3
1.230660,-0.309860,0.060087,0.513135,3
1.229210,-0.325440,0.060087,0.513135,3
1.229700,-0.346170,0.060087,0.513135,3
1.233930,-0.364580,0.060087,0.513135,3
1.243070,-0.386890,0.060087,0.513135,3
1.257860,-0.307450,0.060087,0.513135,3
1.279340,-0.301960,0.060087,0.513135,3
1.304900,-0.295610,0.060087,0.513135,3
1.330370,-0.283590,0.060087,0.513135,3
1.353790,-0.266080,0.060087,0.513135,3
1.374250,-0.242550,0.060087,0.513135,3
1.391240,-0.214600,0.060087,0.513135,3
1.403070,-0.181610,0.060087,0.513135,3
1.409680,-0.148260,0.060087,0.513135,3
1.412610,-0.120320,0.060087,0.513135,3
1.412910,-0.099570,0.060087,0.513135,3
1.410260,-0.084590,0.060087,0.513135,3
1.403820,-0.073640,0.060087,0.513135,3
1.392190,-0.066570,0.060087,0.513135,3
1.376390,-0.066020,0.060087,0.513135,3
1.358000,-0.072310,0.060087,0.513135,3
1.338250,-0.083730,0.060087,0.513135,3
1.318990,-0.097640,0.060087,0.513135,3
1.301130,-0.110390,0.060087,0.513135,3
1.285830,-0.123020,-1.023472,0.114075,3
1.272780,-0.134690,-1.023472,0.114075,3
1.261840,-0.144510,-1.023472,0.114075,3
1.252470,-0.846090,-1.023472,0.114075,3
1.243620,-0.821580,-1.023472,0.114075,3
1.235020,-0.795960,-1.023472,0.114075,3
1.228060,-0.773600,-1.023472,0.114075,3
1.221080,-0.753280,-1.023472,0.114075,3
1.215430,-0.739990,-1.023472,0.114075,3
1.211890,-0.734190,-11.597892,8.153920,2
1.211430,-0.732700,-11.597892,8.153920,2
1.214240,-0.733290,-11.597892,8.153920,2
1.218370,-0.735080,-11.597892,8.153920,2
1.222340,-0.737860,-11.597892,8.153920,2
1.225810,-0.740160,-11.597892,8.153920,2
1.227690,-0.740080,-11.597892,8.153920,2
1.228060,-0.736630,-11.597892,8.153920,2
1.227140,-0.728840,-19.082020,7.797484,4
1.225540,-0.718250,-19.082020,7.797484,4
1.224270,-0.709290,-19.082020,7.797484,4
1.223770,-0.703050,-19.082020,7.797484,4
1.223380,-0.696750,-19.082020,7.797484,4
1.222610,-0.688250,-19.082020,7.797484,4
1.221650,-0.678100,-19.082020,7.797484,4
1.220910,-0.667470,-19.082020,7.797484,4
1.220410,-0.656660,-19.082020,7.797484,4
1.219880,-0.644720,-19.082020,7.797484,4
1.219130,-0.631240,-19.082020,7.797484,4
1.218250,-0.616650,-10.662050,3.319696,2
1.217520,-0.602860,-10.662050,3.319696,2
1.216630,-0.588640,-10.662050,3.319696,2
1.216050,-0.576520,-10.662050,3.319696,2
1.215790,-0.567290,-10.662050,3.319696,2
1.215650,-0.560490,-10.662050,3.319696,2
1.215480,-0.554880,-10.662050,3.319696,2
1.215120,-0.549930,-10.662050,3.319696,2
1.214720,-0.546120,-10.662050,3.319696,2
1.214320,-0.543940,-6.925632,5.358128,2
1.213980,-0.542070,-6.925632,5.358128,2
1.213530,-0.539970,-6.925632,5.358128,2
1.212700,-0.536730,-6.925632,5.358128,2
1.211470,-0.532740,-6.925632,5.358128,2
1.210110,-0.528320,-6.925632,5.358128,2
1.208580,-0.523040,-6.925632,5.358128,2
1.207250,-0.518610,-6.925632,5.358128,2
1.206150,-0.514360,-6.925632,5.358128,2
1.205200,-0.510050,-7.916814,5.999462,2
1.204190,-0.505640,-7.916814,5.999462,2
1.203490,-0.501620,-7.916814,5.999462,2
1.203370,-0.497570,-7.916814,5.999462,2
1.203720,-0.494230,-7.916814,5.999462,2
1.203850,-0.490880,-7.916814,5.999462,2
1.203870,-0.488110,-7.916814,5.999462,2
1.203900,-0.485860,-7.916814,5.999462,2
